Mainland,Cape Breton,Chebogue
Alitta_virens,Alitta_succinea,Alderia_modesta
Amphipholis_squamata,Alitta_virens,Amathia_tertia
Amphitrite_figulus,Amathia_gracilis,Amphitrite_figulus
Arenicola_marina,Ameritella_agilis,Aurelia_aurita
Asterias_forbesi,Amphibalanus_improvisus,Balanus_crenatus
Asterias_rubens,Amphichaeta_sannio,Calycella_syringa
Astrotorhynchus_hakaiensis,Ascidia_ahodori,Cancer_irroratus
Aurelia_labiata,Asterias_forbesi,Cliona_celata
Balanus_glandula,Astyris_lunata,Clitellio_sp._BOLD:AAG8543
Bittiolum_varium,Bittiolum_varium,Clymenella_torquata
Boonea_cf._bisuturalis_BOLD:ABW1340,Botrylloides_violaceus,Crepidula_convexa
Botrylloides_violaceus,Bougainvillia_muscus,Cyclocanna_producta
Bougainvillia_muscus,Capitella_capitata,Doryteuthis_pealeii
Calliopius_laeviusculus,Capitella_teleta,Dynamena_pumila
Cancer_borealis,Carcinus_maenas,Enchytraeus_albellus
Cancer_irroratus,Cerebratulus_lacteus,Flustrellidra_hispida
Capitella_capitata,Chamaedrilus_sphagnetorum,Halecium_halecinum
Capitella_capitata,Clitellio_arenarius,Haliclona_oculata
Caprella_penantis,Conopeum_tenuissimum,Halisarca_dujardinii
Carcinus_maenas,Coryphella_verrucosa,Hediste_diversicolor
Catriona_gymnota,Crangon_septemspinosa,Homarus_americanus
Cerebratulus_lacteus,Crassostrea_virginica,Hybocodon_prolifer
Clava_multicornis,Crepidula_fornicata,Hydractinia_echinata
Cliona_celata,Crepidula_plana,Jassa_marmorata
Clitellio_arenarius,Crisularia_turrita,Laomedea_flexuosa
Clitellio_sp._BOLD:AAG8543,Dinophilus_gardineri,Lepidonotus_squamatus_CMC02
Clymenella_torquata,Dyspanopeus_sayi,Leptocheirus_pinguis
Clytia_hemisphaerica,Ecrobia_truncata,Lumbricillus_lineatus
Coryphella_verrucosa,Elysia_catulus,Lumbricillus_rivalis
Craterolophus_convolvulus,Ercolania_fuscata,Melicertum_octocostatum
Crepidula_fornicata,Gammarus_lawrencianus,Monocorophium_acherusicum
Crisularia_turrita,Gammarus_mucronatus,Nicolea_zostericola
Cryptocotyle_lingua,Gammarus_oceanicus,Obelia_bidentata
Cyanea_capillata,Gemma_gemma,Orchestia_grillus
Dendraster_excentricus,Geukensia_demissa,Pagurus_acadianus
Dexamine_thea,Glycera_dibranchiata,Pagurus_longicarpus
Diopatra_ornata,Gonothyraea_loveni,Parasabella_microphthalma
Dodecaceria_concharum,Halichondria_bowerbanki,Polycirrus_eximius
Doto_coronata,Halichondria_panicea,Pseudopotamilla_reniformis
Dynamena_pumila,Haliclystus_tenuis,Tetrastemma_candidum
Echinarachnius_parma,Haminoea_solitaria,
Elysia_serca,Hartlaubella_gelatinosa,
Ercolania_fuscata,Hypereteone_heteropoda,
Gammarus_lawrencianus,Idotea_baltica,
Gammarus_oceanicus,Jaera_albifrons,
Glycera_dibranchiata,Juxtacribrilina_mutabilis,
Gonionemus_vertens,Limecola_petalum,
Gonothyraea_loveni,Littorina_littorea,
Halichondria_bowerbanki,Littorina_saxatilis,
Halichondria_panicea,Lumbriculus_variegatus,
Haliclystus_tenuis,Marenzelleria_viridis,
Haminoea_solitaria,Melampus_bidentatus,
Harmothoe_imbricata,Membranipora_membranacea,
Hydractinia_echinata,Metridium_senile,
Jaera_albifrons,Monocorophium_insidiosum,
Jassa_marmorata,Mulinia_lateralis,
Juxtacribrilina_mutabilis,Mya_arenaria,
Lacuna_vincta,Mysis_gaspensis,
Laomedea_flexuosa,Mytilus_edulis,
Lepidonotus_squamatus_CMC02,Mytilus_trossulus,
Littorina_littorea,Ninoe_nigripes,
Littorina_obtusata,Obelia_dichotoma,
Littorina_plena,Obelia_longissima,
Littorina_saxatilis,Paranais_botniensis,
Lottia_paradigitalis,Paranais_litoralis,
Lumbricillus_lineatus,Petricolaria_pholadiformis,
Lumbricillus_rivalis,Pherusa_affinis,
Marenzelleria_viridis,Polydora_cornuta,
Margarites_helicinus,Sarsia_tubulosa,
Melampus_bidentatus,Spurwinkia_salsa,
Membranipora_membranacea,Streblospio_benedicti,
Metridium_senile,Stylodrilus_heringianus,
Microstomum_compositum,Tenellia_adspersa,
Microstomum_septentrionale,Thalassodrilus_prostatus,
Modiolus_modiolus,Tubificoides_benedii,
Monocorophium_acherusicum,Tubificoides_fraseri,
Monocorophium_insidiosum,,
Mulinia_lateralis,,
Myrianida_prolifera,,
Mytilus_edulis,,
Mytilus_trossulus,,
Nicolea_zostericola,,
Ninoe_nigripes,,
Obelia_geniculata,,
Obelia_geniculata,,
Obelia_longissima,,
Onchidoris_muricata,,
Ophiopholis_aculeata,,
Pagurus_longicarpus,,
Paranais_litoralis,,
Paranais_litoralis,,
Parvicardium_pinnulatum,,
Parvicirrus_dubius,,
Pectinaria_gouldii,,
Pherusa_affinis,,
Pholoe_minuta,,
Pholoe_minuta,,
Polycirrus_eximius,,
Polydora_cornuta,,
Polydora_onagawaensis,,
Polygordius_jouinae,,
Pseudopolydora_bassarginensis,,
Pseudopolydora_paucibranchiata,,
Pythium_chondricola,,
Ruditapes_philippinarum,,
Sarsia_tubulosa,,
Schistomeringos_longicornis,,
Scoloplos_acutus,,
Semibalanus_balanoides,,
Strongylocentrotus_droebachiensis,,
Tergipes_tergipes,,
Testudinalia_testudinalis,,
Tritia_trivittata,,
Tubificoides_benedii,,
Turbonilla_powhatani,,
Turtonia_minuta,,