Last,This
Alitta_virens,Alderia_modesta
Amphipholis_squamata,Alitta_succinea
Amphitrite_figulus,Alitta_virens
Arenicola_marina,Amathia_gracilis
Asterias_forbesi,Amathia_tertia
Asterias_rubens,Ameritella_agilis
Astrotorhynchus_hakaiensis,Amphibalanus_improvisus
Aurelia_labiata,Amphichaeta_sannio
Balanus_glandula,Amphitrite_figulus
Bittiolum_varium,Ascidia_ahodori
Boonea_cf._bisuturalis_BOLD:ABW1340,Asterias_forbesi
Botrylloides_violaceus,Astyris_lunata
Bougainvillia_muscus,Aurelia_aurita
Calliopius_laeviusculus,Balanus_crenatus
Cancer_borealis,Bittiolum_varium
Cancer_irroratus,Botrylloides_violaceus
Capitella_capitata,Bougainvillia_muscus
Capitella_capitata,Calycella_syringa
Caprella_penantis,Cancer_irroratus
Carcinus_maenas,Capitella_capitata
Catriona_gymnota,Capitella_teleta
Cerebratulus_lacteus,Carcinus_maenas
Clava_multicornis,Cerebratulus_lacteus
Cliona_celata,Chamaedrilus_sphagnetorum
Clitellio_arenarius,Cliona_celata
Clitellio_sp._BOLD:AAG8543,Clitellio_arenarius
Clymenella_torquata,Clitellio_sp._BOLD:AAG8543
Clytia_hemisphaerica,Clymenella_torquata
Coryphella_verrucosa,Conopeum_tenuissimum
Craterolophus_convolvulus,Coryphella_verrucosa
Crepidula_fornicata,Crangon_septemspinosa
Crisularia_turrita,Crassostrea_virginica
Cryptocotyle_lingua,Crepidula_convexa
Cyanea_capillata,Crepidula_fornicata
Dendraster_excentricus,Crepidula_plana
Dexamine_thea,Crisularia_turrita
Diopatra_ornata,Cyclocanna_producta
Dodecaceria_concharum,Dinophilus_gardineri
Doto_coronata,Doryteuthis_pealeii
Dynamena_pumila,Dynamena_pumila
Echinarachnius_parma,Dyspanopeus_sayi
Elysia_serca,Ecrobia_truncata
Ercolania_fuscata,Elysia_catulus
Gammarus_lawrencianus,Enchytraeus_albellus
Gammarus_oceanicus,Ercolania_fuscata
Glycera_dibranchiata,Flustrellidra_hispida
Gonionemus_vertens,Gammarus_lawrencianus
Gonothyraea_loveni,Gammarus_mucronatus
Halichondria_bowerbanki,Gammarus_oceanicus
Halichondria_panicea,Gemma_gemma
Haliclystus_tenuis,Geukensia_demissa
Haminoea_solitaria,Glycera_dibranchiata
Harmothoe_imbricata,Gonothyraea_loveni
Hydractinia_echinata,Halecium_halecinum
Jaera_albifrons,Halichondria_bowerbanki
Jassa_marmorata,Halichondria_panicea
Juxtacribrilina_mutabilis,Haliclona_oculata
Lacuna_vincta,Haliclystus_tenuis
Laomedea_flexuosa,Halisarca_dujardinii
Lepidonotus_squamatus_CMC02,Haminoea_solitaria
Littorina_littorea,Hartlaubella_gelatinosa
Littorina_obtusata,Hediste_diversicolor
Littorina_plena,Homarus_americanus
Littorina_saxatilis,Hybocodon_prolifer
Lottia_paradigitalis,Hydractinia_echinata
Lumbricillus_lineatus,Hypereteone_heteropoda
Lumbricillus_rivalis,Idotea_baltica
Marenzelleria_viridis,Jaera_albifrons
Margarites_helicinus,Jassa_marmorata
Melampus_bidentatus,Juxtacribrilina_mutabilis
Membranipora_membranacea,Laomedea_flexuosa
Metridium_senile,Lepidonotus_squamatus_CMC02
Microstomum_compositum,Leptocheirus_pinguis
Microstomum_septentrionale,Limecola_petalum
Modiolus_modiolus,Littorina_littorea
Monocorophium_acherusicum,Littorina_saxatilis
Monocorophium_insidiosum,Lumbricillus_lineatus
Mulinia_lateralis,Lumbricillus_rivalis
Myrianida_prolifera,Lumbriculus_variegatus
Mytilus_edulis,Marenzelleria_viridis
Mytilus_trossulus,Melampus_bidentatus
Nicolea_zostericola,Melicertum_octocostatum
Ninoe_nigripes,Membranipora_membranacea
Obelia_geniculata,Metridium_senile
Obelia_geniculata,Monocorophium_acherusicum
Obelia_longissima,Monocorophium_insidiosum
Onchidoris_muricata,Mulinia_lateralis
Ophiopholis_aculeata,Mya_arenaria
Pagurus_longicarpus,Mysis_gaspensis
Paranais_litoralis,Mytilus_edulis
Paranais_litoralis,Mytilus_trossulus
Parvicardium_pinnulatum,Nicolea_zostericola
Parvicirrus_dubius,Ninoe_nigripes
Pectinaria_gouldii,Obelia_bidentata
Pherusa_affinis,Obelia_dichotoma
Pholoe_minuta,Obelia_longissima
Pholoe_minuta,Orchestia_grillus
Polycirrus_eximius,Pagurus_acadianus
Polydora_cornuta,Pagurus_longicarpus
Polydora_onagawaensis,Paranais_botniensis
Polygordius_jouinae,Paranais_litoralis
Pseudopolydora_bassarginensis,Parasabella_microphthalma
Pseudopolydora_paucibranchiata,Petricolaria_pholadiformis
Pythium_chondricola,Pherusa_affinis
Ruditapes_philippinarum,Polycirrus_eximius
Sarsia_tubulosa,Polydora_cornuta
Schistomeringos_longicornis,Pseudopotamilla_reniformis
Scoloplos_acutus,Sarsia_tubulosa
Semibalanus_balanoides,Spurwinkia_salsa
Strongylocentrotus_droebachiensis,Streblospio_benedicti
Tergipes_tergipes,Stylodrilus_heringianus
Testudinalia_testudinalis,Tenellia_adspersa
Tritia_trivittata,Tetrastemma_candidum
Tubificoides_benedii,Thalassodrilus_prostatus
Turbonilla_powhatani,Tubificoides_benedii
Turtonia_minuta,Tubificoides_fraseri