"Phylum","Class","Species","Traditional","eDNA"
"Annelida","Polychaeta","Ampharete finmarchica",TRUE,FALSE
"Annelida","Polychaeta","Arenicola marina",FALSE,TRUE
"Annelida","Polychaeta","Capitella capitata",TRUE,TRUE
"Annelida","Polychaeta","Capitella teleta",FALSE,TRUE
"Annelida","Polychaeta","Heteromastus filiformis",TRUE,FALSE
"Annelida","Polychaeta","Mediomastus ambiseta",TRUE,FALSE
"Annelida","Polychaeta","Dysponetus pygmaeus",TRUE,FALSE
"Annelida","Polychaeta","Dodecaceria concharum",TRUE,TRUE
"Annelida","Polychaeta","Tharyx acutus",TRUE,FALSE
"Annelida","Polychaeta","Dinophilus gardineri",FALSE,TRUE
"Annelida","Polychaeta","Schistomeringos longicornis",TRUE,TRUE
"Annelida","Polychaeta","Marycarmenia gaspeensis",TRUE,FALSE
"Annelida","Polychaeta","Fabricia stellaris",TRUE,FALSE
"Annelida","Polychaeta","Pherusa affinis",TRUE,TRUE
"Annelida","Polychaeta","Glycera capitata",TRUE,FALSE
"Annelida","Polychaeta","Glycera dibranchiata",TRUE,TRUE
"Annelida","Polychaeta","Gyptis bruneli",TRUE,FALSE
"Annelida","Polychaeta","Gyptis vittata",TRUE,FALSE
"Annelida","Polychaeta","Lumbrineris",TRUE,FALSE
"Annelida","Polychaeta","Ninoe nigripes",TRUE,TRUE
"Annelida","Polychaeta","Scoletoma fragilis",TRUE,FALSE
"Annelida","Polychaeta","Clymenella torquata",TRUE,TRUE
"Annelida","Polychaeta","Clymenella zonalis",TRUE,FALSE
"Annelida","Polychaeta","Sabaco elongatus",TRUE,FALSE
"Annelida","Polychaeta","Microphthalmus sp",TRUE,FALSE
"Annelida","Polychaeta","Micronephthys neotena",TRUE,FALSE
"Annelida","Polychaeta","Nephtys caeca",TRUE,FALSE
"Annelida","Polychaeta","Alitta succinea",FALSE,TRUE
"Annelida","Polychaeta","Alitta virens",TRUE,TRUE
"Annelida","Polychaeta","Hediste diversicolor",TRUE,TRUE
"Annelida","Polychaeta","Nereis sp",TRUE,FALSE
"Annelida","Polychaeta","Platynereis sp",TRUE,FALSE
"Annelida","Polychaeta","Arabella iricolor",TRUE,FALSE
"Annelida","Polychaeta","Drilonereis sp",TRUE,FALSE
"Annelida","Polychaeta","Ophelia sp",TRUE,FALSE
"Annelida","Polychaeta","Ophelina acuminata",TRUE,FALSE
"Annelida","Polychaeta","Scoloplos sp",TRUE,FALSE
"Annelida","Polychaeta","Leitoscoloplos sp",TRUE,FALSE
"Annelida","Polychaeta","Aricidea catherinae",TRUE,FALSE
"Annelida","Polychaeta","Pectinaria gouldii",TRUE,TRUE
"Annelida","Polychaeta","Phyllodoce maculata",TRUE,FALSE
"Annelida","Polychaeta","Eteone longa",TRUE,FALSE
"Annelida","Polychaeta","Eulalia viridis",TRUE,FALSE
"Annelida","Polychaeta","Eumida sanguinea",TRUE,FALSE
"Annelida","Polychaeta","Hypereteone heteropoda",TRUE,TRUE
"Annelida","Polychaeta","Polygordius jouinae",FALSE,TRUE
"Annelida","Polychaeta","Harmothoe extenuata",TRUE,FALSE
"Annelida","Polychaeta","Harmothoe imbricata",TRUE,TRUE
"Annelida","Polychaeta","Lepidonotus squamatus",TRUE,TRUE
"Annelida","Polychaeta","Parasabella microphthalma",FALSE,TRUE
"Annelida","Polychaeta","Circeis spirillum",TRUE,FALSE
"Annelida","Polychaeta","Pholoe minuta",TRUE,TRUE
"Annelida","Polychaeta","Sphaerodoridium minutum",TRUE,FALSE
"Annelida","Polychaeta","Dipolydora sp1",TRUE,FALSE
"Annelida","Polychaeta","Marenzelleria viridis",TRUE,TRUE
"Annelida","Polychaeta","Polydora cornuta",TRUE,TRUE
"Annelida","Polychaeta","Polydora onagawaensis",FALSE,TRUE
"Annelida","Polychaeta","Prionospio steenstrupi",TRUE,FALSE
"Annelida","Polychaeta","Pseudopolydora bassarginensis",FALSE,TRUE
"Annelida","Polychaeta","Pseudopolydora paucibranchiata",FALSE,TRUE
"Annelida","Polychaeta","Pygospio elegans",TRUE,FALSE
"Annelida","Polychaeta","Spio filicornis",TRUE,FALSE
"Annelida","Polychaeta","Spio setosa",TRUE,FALSE
"Annelida","Polychaeta","Spiophanes bombyx",TRUE,FALSE
"Annelida","Polychaeta","Spirorbis spirorbis",TRUE,FALSE
"Annelida","Polychaeta","Streblospio benedicti",TRUE,TRUE
"Annelida","Polychaeta","Parexogone hebes",TRUE,FALSE
"Annelida","Polychaeta","Amphitrite",TRUE,FALSE
"Annelida","Polychaeta","Neoamphitrite figulus",TRUE,TRUE
"Annelida","Polychaeta","Nicolea zostericola",FALSE,TRUE
"Annelida","Polychaeta","Polycirrus dubius",TRUE,FALSE
"Arthropoda","Crustacea","Ampelisca vadorum",TRUE,FALSE
"Arthropoda","Crustacea","Ampithoe valida",TRUE,FALSE
"Arthropoda","Crustacea","Caprella penantis",TRUE,TRUE
"Arthropoda","Crustacea","Leptocheirus pinguis",TRUE,FALSE
"Arthropoda","Crustacea","Monocorophium acherusicum",FALSE,TRUE
"Arthropoda","Crustacea","Monocorophium insidiosum",FALSE,TRUE
"Arthropoda","Crustacea","Corophium volutator",TRUE,FALSE
"Arthropoda","Crustacea","Dexamine thea",TRUE,TRUE
"Arthropoda","Crustacea","Echinogammarus incertae sedis finmarchicus",TRUE,FALSE
"Arthropoda","Crustacea","Gammarus lawrencianus",TRUE,TRUE
"Arthropoda","Crustacea","Gammarus mucronatus",TRUE,TRUE
"Arthropoda","Crustacea","Gammarus oceanicus",TRUE,TRUE
"Arthropoda","Crustacea","Jassa marmorata",FALSE,TRUE
"Arthropoda","Crustacea","Ischyrocerus anguipes",TRUE,FALSE
"Arthropoda","Crustacea","Phoxocephalus holbolli",TRUE,FALSE
"Arthropoda","Crustacea","Pontogeneia inermis",TRUE,FALSE
"Arthropoda","Crustacea","Hardametopa carinata",TRUE,FALSE
"Arthropoda","Crustacea","Speziorchestia grillus",FALSE,TRUE
"Arthropoda","Crustacea","Orchomenella minuta",TRUE,FALSE
"Arthropoda","Crustacea","Unciola irrorata",TRUE,FALSE
"Arthropoda","Crustacea","Calliopius laeviusculus",FALSE,TRUE
"Arthropoda","Crustacea","Amphibalanus improvisus",FALSE,TRUE
"Arthropoda","Crustacea","Balanus sp",FALSE,TRUE
"Arthropoda","Crustacea","Semibalanus balanoides",FALSE,TRUE
"Arthropoda","Crustacea","Cumacea",TRUE,FALSE
"Arthropoda","Crustacea","Cancer irroratus",TRUE,TRUE
"Arthropoda","Crustacea","Carcinus maenas",TRUE,TRUE
"Arthropoda","Crustacea","Crangon septemspinosa",TRUE,TRUE
"Arthropoda","Crustacea","Homarus americanus",TRUE,TRUE
"Arthropoda","Crustacea","Pagurus acadianus",TRUE,TRUE
"Arthropoda","Crustacea","Pagurus longicarpus",TRUE,TRUE
"Arthropoda","Crustacea","Palaemon vulgaris",TRUE,FALSE
"Arthropoda","Crustacea","Dyspanopeus sayi",FALSE,TRUE
"Arthropoda","Crustacea","Rhithropanopeus harrisii",TRUE,FALSE
"Arthropoda","Crustacea","Edotia triloba",TRUE,FALSE
"Arthropoda","Crustacea","Idotea balthica",TRUE,FALSE
"Arthropoda","Crustacea","Idotea phosphorea",TRUE,FALSE
"Arthropoda","Crustacea","Jaera albifrons",TRUE,TRUE
"Arthropoda","Crustacea","Mysis gaspensis",FALSE,TRUE
"Arthropoda","Crustacea","Mysis stenolepis",TRUE,FALSE
"Arthropoda","Crustacea","Chondrochelia sp",TRUE,FALSE
"Arthropoda","Crustacea","Hargeria rapax",TRUE,FALSE
"Arthropoda","Crustacea","Leptochelia sp",TRUE,FALSE
"Bryozoa","Gymnolaemata","Crisularia turrita",FALSE,TRUE
"Bryozoa","Gymnolaemata","Juxtacribrilina mutabilis",FALSE,TRUE
"Bryozoa","Gymnolaemata","Conopeum tenuissimum",FALSE,TRUE
"Bryozoa","Gymnolaemata","Flustrellidra hispida",FALSE,TRUE
"Bryozoa","Gymnolaemata","Membranipora membranacea",TRUE,TRUE
"Bryozoa","Gymnolaemata","Amathia gracilis",FALSE,TRUE
"Chordata","Ascidiacea","Ascidia ahodori",FALSE,TRUE
"Chordata","Ascidiacea","Botrylloides violaceus",FALSE,TRUE
"Cnidaria","Anthozoa","Metridium dianthus",TRUE,FALSE
"Cnidaria","Anthozoa","Metridium senile",FALSE,TRUE
"Cnidaria","Scyphozoa","Cyanea capillata",FALSE,TRUE
"Cnidaria","Scyphozoa","Aurelia aurita",FALSE,TRUE
"Cnidaria","Scyphozoa","Aurelia labiata",FALSE,TRUE
"Cnidaria","Staurozoa","Craterolophus convolvulus",FALSE,TRUE
"Cnidaria","Staurozoa","Haliclystus tenuis",FALSE,TRUE
"Echinodermata","Asteroidea","Asterias forbesi",TRUE,TRUE
"Echinodermata","Asteroidea","Asterias rubens",TRUE,TRUE
"Echinodermata","Echinoidea","Dendraster excentricus",FALSE,TRUE
"Echinodermata","Echinoidea","Echinarachnius parma",FALSE,TRUE
"Echinodermata","Echinoidea","Strongylocentrotus droebachiensis",FALSE,TRUE
"Echinodermata","Ophiuroidea","Amphipholis squamata",TRUE,TRUE
"Echinodermata","Ophiuroidea","Ophiopholis aculeata",TRUE,TRUE
"Hemichordata","Hemichordata","Saccoglossus kowalevskii",TRUE,FALSE
"Mollusca","Bivalvia","Anomia simplex",TRUE,FALSE
"Mollusca","Bivalvia","Parvicardium pinnulatum",TRUE,TRUE
"Mollusca","Bivalvia","Cyclocardia borealis",TRUE,FALSE
"Mollusca","Bivalvia","Hiatella arctica",TRUE,FALSE
"Mollusca","Bivalvia","Mulinia lateralis",TRUE,TRUE
"Mollusca","Bivalvia","Mya arenaria",TRUE,TRUE
"Mollusca","Bivalvia","Geukensia demissa",FALSE,TRUE
"Mollusca","Bivalvia","Mytilus edulis",TRUE,TRUE
"Mollusca","Bivalvia","Mytilus trossulus",FALSE,TRUE
"Mollusca","Bivalvia","Modiolus modiolus",FALSE,TRUE
"Mollusca","Bivalvia","Crassostrea virginica",TRUE,TRUE
"Mollusca","Bivalvia","Ensis leei",TRUE,FALSE
"Mollusca","Bivalvia","Petrasma borealis",TRUE,FALSE
"Mollusca","Bivalvia","Macoma balthica",TRUE,FALSE
"Mollusca","Bivalvia","Macoma petalum",FALSE,TRUE
"Mollusca","Bivalvia","Ameritella agilis",TRUE,FALSE
"Mollusca","Bivalvia","Gemma gemma",TRUE,TRUE
"Mollusca","Bivalvia","Mercenaria mercenaria",TRUE,FALSE
"Mollusca","Bivalvia","Petricolaria pholadiformis",TRUE,TRUE
"Mollusca","Bivalvia","Ruditapes philippinarum",FALSE,TRUE
"Mollusca","Cephalopoda","Doryteuthis pealeii",FALSE,TRUE
"Mollusca","Gastropoda","Crepidula convexa",FALSE,TRUE
"Mollusca","Gastropoda","Crepidula fornicata",TRUE,TRUE
"Mollusca","Gastropoda","Bittiolum alternatum",TRUE,FALSE
"Mollusca","Gastropoda","Bittiolum varium",FALSE,TRUE
"Mollusca","Gastropoda","Spurwinkia salsa",FALSE,TRUE
"Mollusca","Gastropoda","Astyris lunata",TRUE,FALSE
"Mollusca","Gastropoda","Coryphella verrucosa",FALSE,TRUE
"Mollusca","Gastropoda","Doto coronata",FALSE,TRUE
"Mollusca","Gastropoda","Melampus bidentatus",TRUE,TRUE
"Mollusca","Gastropoda","Haminella solitaria",TRUE,TRUE
"Mollusca","Gastropoda","Ecrobia truncata",TRUE,TRUE
"Mollusca","Gastropoda","Alderia modesta",FALSE,TRUE
"Mollusca","Gastropoda","Ercolania fuscata",FALSE,TRUE
"Mollusca","Gastropoda","Lacuna vincta",TRUE,TRUE
"Mollusca","Gastropoda","Littorina littorea",TRUE,TRUE
"Mollusca","Gastropoda","Littorina obtusata",TRUE,TRUE
"Mollusca","Gastropoda","Littorina plena",FALSE,TRUE
"Mollusca","Gastropoda","Littorina saxatilis",TRUE,TRUE
"Mollusca","Gastropoda","Lottia paradigitalis",FALSE,TRUE
"Mollusca","Gastropoda","Testudinalia testudinalis",TRUE,TRUE
"Mollusca","Gastropoda","Margarites helicinus",FALSE,TRUE
"Mollusca","Gastropoda","Ilyanassa obsoleta",TRUE,FALSE
"Mollusca","Gastropoda","Ilyanassa trivittata",TRUE,TRUE
"Mollusca","Gastropoda","Onchidoris muricata",FALSE,TRUE
"Mollusca","Gastropoda","Elysia catulus",FALSE,TRUE
"Mollusca","Gastropoda","Odostomia sp",TRUE,FALSE
"Mollusca","Gastropoda","Turbonilla powhatani",TRUE,TRUE
"Mollusca","Gastropoda","Boonea bisuturalis",FALSE,TRUE
"Mollusca","Gastropoda","Rissoidae",TRUE,FALSE
"Mollusca","Gastropoda","Tergipes tergipes",FALSE,TRUE
"Mollusca","Gastropoda","Acteocina canaliculata",TRUE,FALSE
"Mollusca","Gastropoda","Catriona gymnota",FALSE,TRUE
"Mollusca","Gastropoda","Tenellia adspersa",FALSE,TRUE
"Nemertea","Pilidiophora","Cerebratulus lacteus",TRUE,TRUE
"Nemertea","Pilidiophora","Parvicirrus dubius",FALSE,TRUE
"Nemertea","Nemertea","Lineus ruber",TRUE,FALSE
"Porifera","Demospongiae","Haliclona oculata",FALSE,TRUE
"Porifera","Demospongiae","Cliona celata",FALSE,TRUE
"Porifera","Demospongiae","Halichondria bowerbanki",FALSE,TRUE
"Porifera","Demospongiae","Halichondria panicea",FALSE,TRUE
"Annelida","Clitellata","Amphichaeta sannio",FALSE,TRUE
"Annelida","Clitellata","Clitellio arenarius",FALSE,TRUE
"Annelida","Clitellata","Lumbricillus lineatus",FALSE,TRUE
"Annelida","Clitellata","Lumbricillus rivalis",FALSE,TRUE
"Annelida","Clitellata","Paranais botniensis",FALSE,TRUE
"Annelida","Clitellata","Paranais litoralis",FALSE,TRUE
"Annelida","Polychaeta","Polycirrus eximius",FALSE,TRUE
"Annelida","Clitellata","Tubificoides benedii",FALSE,TRUE
"Cnidaria","Hydrozoa","Bougainvillia muscus",FALSE,TRUE
"Cnidaria","Hydrozoa","Clava multicornis",FALSE,TRUE
"Cnidaria","Hydrozoa","Clytia hemisphaerica",FALSE,TRUE
"Cnidaria","Hydrozoa","Dynamena pumila",FALSE,TRUE
"Cnidaria","Hydrozoa","Gonionemus vertens",FALSE,TRUE
"Cnidaria","Hydrozoa","Gonothyraea loveni",FALSE,TRUE
"Cnidaria","Hydrozoa","Halecium halecinum",FALSE,TRUE
"Cnidaria","Hydrozoa","Hybocodon prolifer",FALSE,TRUE
"Cnidaria","Hydrozoa","Hydractinia echinata",FALSE,TRUE
"Cnidaria","Hydrozoa","Laomedea flexuosa",FALSE,TRUE
"Cnidaria","Hydrozoa","Obelia bidentata",FALSE,TRUE
"Cnidaria","Hydrozoa","Obelia dichotoma",FALSE,TRUE
"Cnidaria","Hydrozoa","Obelia geniculata",FALSE,TRUE
"Cnidaria","Hydrozoa","Obelia longissima",FALSE,TRUE
"Cnidaria","Hydrozoa","Sarsia tubulosa",FALSE,TRUE
"Platyhelminthes","Rhabditophora","Astrotorhynchus hakaiensis",FALSE,TRUE
"Platyhelminthes","Rhabditophora","Microstomum septentrionale",FALSE,TRUE
