"AphiaID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Detection"
234850,"Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Alitta","Alitta succinea","eDNA"
137477,"Animalia","Annelida","Clitellata","Tubificida","Naididae","Amphichaeta","Amphichaeta sannio","eDNA"
129868,"Animalia","Annelida","Polychaeta",NA,"Arenicolidae","Arenicola","Arenicola marina","eDNA"
592089,"Animalia","Annelida","Polychaeta",NA,"Capitellidae","Capitella","Capitella teleta","eDNA"
1070860,"Animalia","Annelida","Clitellata","Tubificida","Naididae","Clitellio","Clitellio arenarius","eDNA"
326922,"Animalia","Annelida","Polychaeta",NA,"Dinophilidae","Dinophilus","Dinophilus gardineri","eDNA"
137438,"Animalia","Annelida","Clitellata","Enchytraeida","Enchytraeidae","Lumbricillus","Lumbricillus lineatus","eDNA"
137449,"Animalia","Annelida","Clitellata","Enchytraeida","Enchytraeidae","Lumbricillus","Lumbricillus rivalis","eDNA"
131508,"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Nicolea","Nicolea zostericola","eDNA"
137483,"Animalia","Annelida","Clitellata","Tubificida","Naididae","Paranais","Paranais botniensis","eDNA"
137485,"Animalia","Annelida","Clitellata","Tubificida","Naididae","Paranais","Paranais litoralis","eDNA"
530927,"Animalia","Annelida","Polychaeta","Sabellida","Sabellidae","Parasabella","Parasabella microphthalma","eDNA"
157533,"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus","Polycirrus eximius","eDNA"
1611501,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora","Polydora onagawaensis","eDNA"
390168,"Animalia","Annelida","Polychaeta",NA,"Polygordiidae","Polygordius","Polygordius jouinae","eDNA"
334675,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pseudopolydora","Pseudopolydora bassarginensis","eDNA"
131168,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pseudopolydora","Pseudopolydora paucibranchiata","eDNA"
137571,"Animalia","Annelida","Clitellata","Tubificida","Naididae","Tubificoides","Tubificoides benedii","eDNA"
234851,"Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Alitta","Alitta virens","Shared"
129876,"Animalia","Annelida","Polychaeta",NA,"Capitellidae","Capitella","Capitella capitata","Shared"
130279,"Animalia","Annelida","Polychaeta",NA,"Maldanidae","Clymenella","Clymenella torquata","Shared"
129967,"Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Dodecaceria","Dodecaceria concharum","Shared"
157392,"Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera","Glycera dibranchiata","Shared"
130769,"Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe imbricata","Shared"
152302,"Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Hediste","Hediste diversicolor","Shared"
333652,"Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Hypereteone","Hypereteone heteropoda","Shared"
130801,"Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Lepidonotus","Lepidonotus squamatus","Shared"
131135,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Marenzelleria","Marenzelleria viridis","Shared"
131504,"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Neoamphitrite","Neoamphitrite figulus","Shared"
130255,"Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Ninoe","Ninoe nigripes","Shared"
334421,"Animalia","Annelida","Polychaeta","Terebellida","Pectinariidae","Pectinaria","Pectinaria gouldii","Shared"
157526,"Animalia","Annelida","Polychaeta","Terebellida","Flabelligeridae","Pherusa","Pherusa affinis","Shared"
130603,"Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Pholoe","Pholoe minuta","Shared"
131143,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Polydora","Polydora cornuta","Shared"
334731,"Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Schistomeringos","Schistomeringos longicornis","Shared"
131191,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Streblospio","Streblospio benedicti","Shared"
129778,"Animalia","Annelida","Polychaeta","Terebellida","Ampharetidae","Ampharete","Ampharete finmarchica","Traditional"
129686,"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Amphitrite",NA,"Traditional"
129854,"Animalia","Annelida","Polychaeta","Eunicida","Oenonidae","Arabella","Arabella iricolor","Traditional"
130554,"Animalia","Annelida","Polychaeta",NA,"Paraonidae","Aricidea","Aricidea catherinae","Traditional"
131201,"Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Circeis","Circeis spirillum","Traditional"
157320,"Animalia","Annelida","Polychaeta",NA,"Maldanidae","Clymenella","Clymenella zonalis","Traditional"
129611,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Dipolydora",NA,"Traditional"
129200,"Animalia","Annelida","Polychaeta","Eunicida","Oenonidae","Drilonereis",NA,"Traditional"
129932,"Animalia","Annelida","Polychaeta","Phyllodocida","Chrysopetalidae","Dysponetus","Dysponetus pygmaeus","Traditional"
130616,"Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Eteone","Eteone longa","Traditional"
130639,"Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Eulalia","Eulalia viridis","Traditional"
130644,"Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Eumida","Eumida sanguinea","Traditional"
130913,"Animalia","Annelida","Polychaeta","Sabellida","Fabriciidae","Fabricia","Fabricia stellaris","Traditional"
130118,"Animalia","Annelida","Polychaeta","Phyllodocida","Glyceridae","Glycera","Glycera capitata","Traditional"
333519,"Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae","Gyptis","Gyptis bruneli","Traditional"
157414,"Animalia","Annelida","Polychaeta","Phyllodocida","Hesionidae","Gyptis","Gyptis vittata","Traditional"
130762,"Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Harmothoe","Harmothoe extenuata","Traditional"
129884,"Animalia","Annelida","Polychaeta",NA,"Capitellidae","Heteromastus","Heteromastus filiformis","Traditional"
129418,"Animalia","Annelida","Polychaeta",NA,"Orbiniidae","Leitoscoloplos",NA,"Traditional"
129337,"Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Lumbrineris",NA,"Traditional"
333982,"Animalia","Annelida","Polychaeta","Eunicida","Dorvilleidae","Marycarmenia","Marycarmenia gaspeensis","Traditional"
157482,"Animalia","Annelida","Polychaeta",NA,"Capitellidae","Mediomastus","Mediomastus ambiseta","Traditional"
130349,"Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Micronephthys","Micronephthys neotena","Traditional"
129313,"Animalia","Annelida","Polychaeta","Phyllodocida","Microphthalmidae","Microphthalmus",NA,"Traditional"
130355,"Animalia","Annelida","Polychaeta","Phyllodocida","Nephtyidae","Nephtys","Nephtys caeca","Traditional"
129379,"Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Nereis",NA,"Traditional"
129413,"Animalia","Annelida","Polychaeta",NA,"Opheliidae","Ophelia",NA,"Traditional"
130500,"Animalia","Annelida","Polychaeta",NA,"Opheliidae","Ophelina","Ophelina acuminata","Traditional"
757970,"Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","Parexogone","Parexogone hebes","Traditional"
334510,"Animalia","Annelida","Polychaeta","Phyllodocida","Phyllodocidae","Phyllodoce","Phyllodoce maculata","Traditional"
129381,"Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Platynereis",NA,"Traditional"
821610,"Animalia","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus","Polycirrus dubius","Traditional"
131164,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Prionospio","Prionospio steenstrupi","Traditional"
131170,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Pygospio","Pygospio elegans","Traditional"
157550,"Animalia","Annelida","Polychaeta",NA,"Maldanidae","Sabaco","Sabaco elongatus","Traditional"
130261,"Animalia","Annelida","Polychaeta","Eunicida","Lumbrineridae","Scoletoma","Scoletoma fragilis","Traditional"
129425,"Animalia","Annelida","Polychaeta",NA,"Orbiniidae","Scoloplos",NA,"Traditional"
155127,"Animalia","Annelida","Polychaeta","Phyllodocida","Sphaerodoridae","Sphaerodoridium","Sphaerodoridium minutum","Traditional"
131183,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio","Spio filicornis","Traditional"
157573,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spio","Spio setosa","Traditional"
131187,"Animalia","Annelida","Polychaeta","Spionida","Spionidae","Spiophanes","Spiophanes bombyx","Traditional"
131237,"Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Spirorbis","Spirorbis spirorbis","Traditional"
155243,"Animalia","Annelida","Polychaeta","Terebellida","Cirratulidae","Tharyx","Tharyx acutus","Traditional"
421139,"Animalia","Arthropoda","Thecostraca","Balanomorpha","Balanidae","Amphibalanus","Amphibalanus improvisus","eDNA"
106122,"Animalia","Arthropoda","Thecostraca","Balanomorpha","Balanidae","Balanus",NA,"eDNA"
102178,"Animalia","Arthropoda","Malacostraca","Amphipoda","Calliopiidae","Calliopius","Calliopius laeviusculus","eDNA"
107412,"Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Dyspanopeus","Dyspanopeus sayi","eDNA"
102433,"Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Jassa","Jassa marmorata","eDNA"
225814,"Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Monocorophium","Monocorophium acherusicum","eDNA"
148592,"Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Monocorophium","Monocorophium insidiosum","eDNA"
157805,"Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Mysis","Mysis gaspensis","eDNA"
106210,"Animalia","Arthropoda","Thecostraca","Balanomorpha","Balanidae","Semibalanus","Semibalanus balanoides","eDNA"
1328406,"Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","Speziorchestia","Speziorchestia grillus","eDNA"
158057,"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer irroratus","Shared"
101846,"Animalia","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella","Caprella penantis","Shared"
107381,"Animalia","Arthropoda","Malacostraca","Decapoda","Carcinidae","Carcinus","Carcinus maenas","Shared"
158355,"Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Crangon","Crangon septemspinosa","Shared"
102136,"Animalia","Arthropoda","Malacostraca","Amphipoda","Dexaminidae","Dexamine","Dexamine thea","Shared"
158093,"Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus","Gammarus lawrencianus","Shared"
158094,"Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus","Gammarus mucronatus","Shared"
102285,"Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Gammarus","Gammarus oceanicus","Shared"
156134,"Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","Homarus americanus","Shared"
118715,"Animalia","Arthropoda","Malacostraca","Isopoda","Janiridae","Jaera","Jaera albifrons","Shared"
158400,"Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus acadianus","Shared"
158403,"Animalia","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus longicarpus","Shared"
158022,"Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae","Ampelisca","Ampelisca vadorum","Traditional"
102005,"Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Ampithoe","Ampithoe valida","Traditional"
880787,"Animalia","Arthropoda","Malacostraca","Tanaidacea","Leptocheliidae","Chondrochelia",NA,"Traditional"
102101,"Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Corophium","Corophium volutator","Traditional"
1137,"Animalia","Arthropoda","Malacostraca","Cumacea",NA,NA,NA,"Traditional"
1651000,"Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","Echinogammarus incertae sedis","Echinogammarus incertae sedis finmarchicus","Traditional"
157885,"Animalia","Arthropoda","Malacostraca","Isopoda","Idoteidae","Edotia","Edotia triloba","Traditional"
158099,"Animalia","Arthropoda","Malacostraca","Amphipoda","Stenothoidae","Hardametopa","Hardametopa carinata","Traditional"
247538,"Animalia","Arthropoda","Malacostraca","Tanaidacea","Leptocheliidae","Hargeria","Hargeria rapax","Traditional"
119039,"Animalia","Arthropoda","Malacostraca","Isopoda","Idoteidae","Idotea","Idotea balthica","Traditional"
157891,"Animalia","Arthropoda","Malacostraca","Isopoda","Idoteidae","Idotea","Idotea phosphorea","Traditional"
102412,"Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Ischyrocerus","Ischyrocerus anguipes","Traditional"
158112,"Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Leptocheirus","Leptocheirus pinguis","Traditional"
136235,"Animalia","Arthropoda","Malacostraca","Tanaidacea","Leptocheliidae","Leptochelia",NA,"Traditional"
226994,"Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Mysis","Mysis stenolepis","Traditional"
102690,"Animalia","Arthropoda","Malacostraca","Amphipoda","Tryphosidae","Orchomenella","Orchomenella minuta","Traditional"
932406,"Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Palaemon","Palaemon vulgaris","Traditional"
102989,"Animalia","Arthropoda","Malacostraca","Amphipoda","Phoxocephalidae","Phoxocephalus","Phoxocephalus holbolli","Traditional"
102223,"Animalia","Arthropoda","Malacostraca","Amphipoda","Pontogeneiidae","Pontogeneia","Pontogeneia inermis","Traditional"
107414,"Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Rhithropanopeus","Rhithropanopeus harrisii","Traditional"
158156,"Animalia","Arthropoda","Malacostraca","Amphipoda","Unciolidae","Unciola","Unciola irrorata","Traditional"
851589,"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","Amathia","Amathia gracilis","eDNA"
159808,"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Electridae","Conopeum","Conopeum tenuissimum","eDNA"
834044,"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","Crisularia","Crisularia turrita","eDNA"
111621,"Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Flustrellidridae","Flustrellidra","Flustrellidra hispida","eDNA"
1059484,"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Cribrilinidae","Juxtacribrilina","Juxtacribrilina mutabilis","eDNA"
111411,"Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora membranacea","Shared"
249965,"Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidia","Ascidia ahodori","eDNA"
148715,"Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botrylloides","Botrylloides violaceus","eDNA"
135306,"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Aurelia aurita","eDNA"
287213,"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Aurelia labiata","eDNA"
117328,"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Bougainvilliidae","Bougainvillia","Bougainvillia muscus","eDNA"
117426,"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Hydractiniidae","Clava","Clava multicornis","eDNA"
117368,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Clytia","Clytia hemisphaerica","eDNA"
135312,"Animalia","Cnidaria","Staurozoa","Stauromedusae","Craterolophidae","Craterolophus","Craterolophus convolvulus","eDNA"
135301,"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea","Cyanea capillata","eDNA"
117888,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Dynamena","Dynamena pumila","eDNA"
117768,"Animalia","Cnidaria","Hydrozoa","Limnomedusae","Olindiidae","Gonionemus","Gonionemus vertens","eDNA"
117377,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Gonothyraea","Gonothyraea loveni","eDNA"
231751,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Haleciidae","Halecium","Halecium halecinum","eDNA"
287231,"Animalia","Cnidaria","Staurozoa","Stauromedusae","Haliclystidae","Haliclystus","Haliclystus tenuis","eDNA"
117988,"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Tubulariidae","Hybocodon","Hybocodon prolifer","eDNA"
117644,"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Hydractiniidae","Hydractinia","Hydractinia echinata","eDNA"
117382,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Laomedea","Laomedea flexuosa","eDNA"
100982,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Metridiidae","Metridium","Metridium senile","eDNA"
117385,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Obelia bidentata","eDNA"
117386,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Obelia dichotoma","eDNA"
117388,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Obelia geniculata","eDNA"
117389,"Animalia","Cnidaria","Hydrozoa","Leptothecata","Campanulariidae","Obelia","Obelia longissima","eDNA"
117491,"Animalia","Cnidaria","Hydrozoa","Anthoathecata","Corynidae","Sarsia","Sarsia tubulosa","eDNA"
158251,"Animalia","Cnidaria","Hexacorallia","Actiniaria","Metridiidae","Metridium","Metridium dianthus","Traditional"
513215,"Animalia","Echinodermata","Echinoidea","Echinolampadacea","Dendrasteridae","Dendraster","Dendraster excentricus","eDNA"
158062,"Animalia","Echinodermata","Echinoidea","Echinolampadacea","Echinarachniidae","Echinarachnius","Echinarachnius parma","eDNA"
124321,"Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus droebachiensis","eDNA"
125064,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphipholis","Amphipholis squamata","Shared"
158489,"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias forbesi","Shared"
123776,"Animalia","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","Asterias rubens","Shared"
125125,"Animalia","Echinodermata","Ophiuroidea","Amphilepidida","Ophiopholidae","Ophiopholis","Ophiopholis aculeata","Shared"
137600,"Animalia","Hemichordata","Enteropneusta","Enteropneusta incertae sedis","Harrimaniidae","Saccoglossus","Saccoglossus kowalevskii","Traditional"
141555,"Animalia","Mollusca","Gastropoda",NA,"Limapontiidae","Alderia","Alderia modesta","eDNA"
160174,"Animalia","Mollusca","Gastropoda","Caenogastropoda incertae sedis","Cerithiidae","Bittiolum","Bittiolum varium","eDNA"
397024,"Animalia","Mollusca","Gastropoda",NA,"Pyramidellidae","Boonea","Boonea bisuturalis","eDNA"
141611,"Animalia","Mollusca","Gastropoda","Nudibranchia","Trinchesiidae","Catriona","Catriona gymnota","eDNA"
139987,"Animalia","Mollusca","Gastropoda","Nudibranchia","Coryphellidae","Coryphella","Coryphella verrucosa","eDNA"
160228,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","Crepidula convexa","eDNA"
574541,"Animalia","Mollusca","Cephalopoda","Myopsida","Loliginidae","Doryteuthis","Doryteuthis pealeii","eDNA"
139631,"Animalia","Mollusca","Gastropoda","Nudibranchia","Dotidae","Doto","Doto coronata","eDNA"
160278,"Animalia","Mollusca","Gastropoda",NA,"Plakobranchidae","Elysia","Elysia catulus","eDNA"
160304,"Animalia","Mollusca","Gastropoda",NA,"Limapontiidae","Ercolania","Ercolania fuscata","eDNA"
156859,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Geukensia","Geukensia demissa","eDNA"
445659,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina","Littorina plena","eDNA"
510029,"Animalia","Mollusca","Gastropoda",NA,"Lottiidae","Lottia","Lottia paradigitalis","eDNA"
397131,"Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Macoma","Macoma petalum","eDNA"
141821,"Animalia","Mollusca","Gastropoda","Trochida","Margaritidae","Margarites","Margarites helicinus","eDNA"
140467,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Modiolus","Modiolus modiolus","eDNA"
140482,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus","Mytilus trossulus","eDNA"
140640,"Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Onchidoris","Onchidoris muricata","eDNA"
231750,"Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Ruditapes","Ruditapes philippinarum","eDNA"
160412,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Cochliopidae","Spurwinkia","Spurwinkia salsa","eDNA"
141639,"Animalia","Mollusca","Gastropoda","Nudibranchia","Trinchesiidae","Tenellia","Tenellia adspersa","eDNA"
141641,"Animalia","Mollusca","Gastropoda","Nudibranchia","Tergipedidae","Tergipes","Tergipes tergipes","eDNA"
140657,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","Crassostrea","Crassostrea virginica","Shared"
138963,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","Crepidula fornicata","Shared"
574096,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Hydrobiidae","Ecrobia","Ecrobia truncata","Shared"
156803,"Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Gemma","Gemma gemma","Shared"
1342053,"Animalia","Mollusca","Gastropoda","Cephalaspidea","Haminoeidae","Haminella","Haminella solitaria","Shared"
467492,"Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Ilyanassa","Ilyanassa trivittata","Shared"
140170,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Lacuna","Lacuna vincta","Shared"
140262,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina","Littorina littorea","Shared"
140263,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina","Littorina obtusata","Shared"
140264,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina","Littorina saxatilis","Shared"
160368,"Animalia","Mollusca","Gastropoda","Ellobiida","Ellobiidae","Melampus","Melampus bidentatus","Shared"
156870,"Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Mulinia","Mulinia lateralis","Shared"
140430,"Animalia","Mollusca","Bivalvia","Myida","Myidae","Mya","Mya arenaria","Shared"
140480,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Mytilus","Mytilus edulis","Shared"
181343,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","Parvicardium","Parvicardium pinnulatum","Shared"
156961,"Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Petricolaria","Petricolaria pholadiformis","Shared"
234208,"Animalia","Mollusca","Gastropoda",NA,"Lottiidae","Testudinalia","Testudinalia testudinalis","Shared"
160088,"Animalia","Mollusca","Gastropoda",NA,"Pyramidellidae","Turbonilla","Turbonilla powhatani","Shared"
160065,"Animalia","Mollusca","Gastropoda","Cephalaspidea","Tornatinidae","Acteocina","Acteocina canaliculata","Traditional"
878476,"Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Ameritella","Ameritella agilis","Traditional"
156737,"Animalia","Mollusca","Bivalvia","Pectinida","Anomiidae","Anomia","Anomia simplex","Traditional"
160102,"Animalia","Mollusca","Gastropoda","Neogastropoda","Columbellidae","Astyris","Astyris lunata","Traditional"
160172,"Animalia","Mollusca","Gastropoda","Caenogastropoda incertae sedis","Cerithiidae","Bittiolum","Bittiolum alternatum","Traditional"
156832,"Animalia","Mollusca","Bivalvia","Carditida","Carditidae","Cyclocardia","Cyclocardia borealis","Traditional"
876640,"Animalia","Mollusca","Bivalvia","Adapedonta","Pharidae","Ensis","Ensis leei","Traditional"
140103,"Animalia","Mollusca","Bivalvia","Adapedonta","Hiatellidae","Hiatella","Hiatella arctica","Traditional"
467490,"Animalia","Mollusca","Gastropoda","Neogastropoda","Nassariidae","Ilyanassa","Ilyanassa obsoleta","Traditional"
141579,"Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Macoma","Macoma balthica","Traditional"
141919,"Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Mercenaria","Mercenaria mercenaria","Traditional"
138413,"Animalia","Mollusca","Gastropoda",NA,"Pyramidellidae","Odostomia",NA,"Traditional"
1465606,"Animalia","Mollusca","Bivalvia","Solemyida","Solemyidae","Petrasma","Petrasma borealis","Traditional"
123,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Rissoidae",NA,NA,"Traditional"
155924,"Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Parvicirrus","Parvicirrus dubius","eDNA"
147322,"Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Cerebratulus","Cerebratulus lacteus","Shared"
122536,"Animalia","Nemertea","Pilidiophora","Heteronemertea","Lineidae","Lineus","Lineus ruber","Traditional"
1079201,"Animalia","Platyhelminthes",NA,"Rhabdocoela","Promesostomidae","Astrotorhynchus","Astrotorhynchus hakaiensis","eDNA"
142799,"Animalia","Platyhelminthes",NA,"Dolichomicrostomida","Microstomidae","Microstomum","Microstomum septentrionale","eDNA"
134121,"Animalia","Porifera","Demospongiae","Clionaida","Clionaidae","Cliona","Cliona celata","eDNA"
132588,"Animalia","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria bowerbanki","eDNA"
132627,"Animalia","Porifera","Demospongiae","Suberitida","Halichondriidae","Halichondria","Halichondria panicea","eDNA"
236327,"Animalia","Porifera","Demospongiae","Haplosclerida","Chalinidae","Haliclona","Haliclona oculata","eDNA"
